Slip angle;Align force
-20,0;-14,04
-19,9;-13,94
-19,8;-13,84
-19,7;-13,73
-19,6;-13,63
-19,5;-13,52
-19,4;-13,41
-19,3;-13,30
-19,2;-13,19
-19,1;-13,08
-19,0;-12,97
-18,9;-12,85
-18,8;-12,73
-18,7;-12,61
-18,6;-12,49
-18,5;-12,37
-18,4;-12,25
-18,3;-12,12
-18,2;-12,00
-18,1;-11,87
-18,0;-11,74
-17,9;-11,60
-17,8;-11,47
-17,7;-11,33
-17,6;-11,20
-17,5;-11,06
-17,4;-10,91
-17,3;-10,77
-17,2;-10,62
-17,1;-10,47
-17,0;-10,32
-16,9;-10,17
-16,8;-10,02
-16,7;-9,86
-16,6;-9,70
-16,5;-9,54
-16,4;-9,37
-16,3;-9,20
-16,2;-9,03
-16,1;-8,86
-16,0;-8,69
-15,9;-8,51
-15,8;-8,33
-15,7;-8,14
-15,6;-7,96
-15,5;-7,77
-15,4;-7,58
-15,3;-7,38
-15,2;-7,18
-15,1;-6,98
-15,0;-6,77
-14,9;-6,56
-14,8;-6,35
-14,7;-6,14
-14,6;-5,92
-14,5;-5,69
-14,4;-5,47
-14,3;-5,24
-14,2;-5,00
-14,1;-4,76
-14,0;-4,52
-13,9;-4,27
-13,8;-4,02
-13,7;-3,77
-13,6;-3,51
-13,5;-3,24
-13,4;-2,97
-13,3;-2,70
-13,2;-2,42
-13,1;-2,14
-13,0;-1,85
-12,9;-1,55
-12,8;-1,25
-12,7;-0,95
-12,6;-0,64
-12,5;-0,32
-12,4;0,00
-12,3;0,33
-12,2;0,66
-12,1;1,00
-12,0;1,35
-11,9;1,70
-11,8;2,06
-11,7;2,43
-11,6;2,80
-11,5;3,19
-11,4;3,57
-11,3;3,97
-11,2;4,37
-11,1;4,78
-11,0;5,20
-10,9;5,62
-10,8;6,06
-10,7;6,50
-10,6;6,95
-10,5;7,41
-10,4;7,88
-10,3;8,35
-10,2;8,84
-10,1;9,33
-10,0;9,83
-9,9;10,35
-9,8;10,87
-9,7;11,40
-9,6;11,94
-9,5;12,49
-9,4;13,05
-9,3;13,62
-9,2;14,20
-9,1;14,79
-9,0;15,39
-8,9;16,00
-8,8;16,62
-8,7;17,25
-8,6;17,89
-8,5;18,54
-8,4;19,19
-8,3;19,86
-8,2;20,54
-8,1;21,22
-8,0;21,92
-7,9;22,62
-7,8;23,33
-7,7;24,05
-7,6;24,78
-7,5;25,51
-7,4;26,24
-7,3;26,99
-7,2;27,73
-7,1;28,48
-7,0;29,24
-6,9;29,99
-6,8;30,75
-6,7;31,50
-6,6;32,25
-6,5;33,00
-6,4;33,74
-6,3;34,48
-6,2;35,21
-6,1;35,93
-6,0;36,63
-5,9;37,32
-5,8;38,00
-5,7;38,65
-5,6;39,29
-5,5;39,90
-5,4;40,48
-5,3;41,03
-5,2;41,56
-5,1;42,05
-5,0;42,50
-4,9;42,91
-4,8;43,27
-4,7;43,60
-4,6;43,87
-4,5;44,09
-4,4;44,25
-4,3;44,36
-4,2;44,41
-4,1;44,40
-4,0;44,33
-3,9;44,18
-3,8;43,98
-3,7;43,70
-3,6;43,35
-3,5;42,93
-3,4;42,44
-3,3;41,88
-3,2;41,25
-3,1;40,55
-3,0;39,77
-2,9;38,93
-2,8;38,01
-2,7;37,03
-2,6;35,99
-2,5;34,88
-2,4;33,72
-2,3;32,49
-2,2;31,21
-2,1;29,87
-2,0;28,49
-1,9;27,06
-1,8;25,58
-1,7;24,06
-1,6;22,51
-1,5;20,92
-1,4;19,30
-1,3;17,65
-1,2;15,97
-1,1;14,27
-1,0;12,55
-0,9;10,82
-0,8;9,06
-0,7;7,30
-0,6;5,53
-0,5;3,74
-0,4;1,96
-0,3;0,17
-0,2;-1,62
-0,1;-3,40
0,0;-5,18
0,1;-6,95
0,2;-8,71
0,3;-10,46
0,4;-12,20
0,5;-13,91
0,6;-15,61
0,7;-17,28
0,8;-18,93
0,9;-20,54
1,0;-22,13
1,1;-23,67
1,2;-25,18
1,3;-26,65
1,4;-28,07
1,5;-29,45
1,6;-30,78
1,7;-32,05
1,8;-33,26
1,9;-34,42
2,0;-35,52
2,1;-36,55
2,2;-37,52
2,3;-38,42
2,4;-39,25
2,5;-40,01
2,6;-40,70
2,7;-41,32
2,8;-41,87
2,9;-42,35
3,0;-42,75
3,1;-43,09
3,2;-43,35
3,3;-43,55
3,4;-43,68
3,5;-43,74
3,6;-43,74
3,7;-43,68
3,8;-43,56
3,9;-43,39
4,0;-43,16
4,1;-42,87
4,2;-42,54
4,3;-42,17
4,4;-41,75
4,5;-41,29
4,6;-40,80
4,7;-40,27
4,8;-39,71
4,9;-39,12
5,0;-38,51
5,1;-37,87
5,2;-37,21
5,3;-36,53
5,4;-35,84
5,5;-35,13
5,6;-34,41
5,7;-33,68
5,8;-32,94
5,9;-32,20
6,0;-31,45
6,1;-30,70
6,2;-29,94
6,3;-29,19
6,4;-28,43
6,5;-27,68
6,6;-26,93
6,7;-26,19
6,8;-25,44
6,9;-24,71
7,0;-23,98
7,1;-23,25
7,2;-22,54
7,3;-21,83
7,4;-21,13
7,5;-20,43
7,6;-19,75
7,7;-19,07
7,8;-18,41
7,9;-17,75
8,0;-17,10
8,1;-16,47
8,2;-15,84
8,3;-15,22
8,4;-14,61
8,5;-14,02
8,6;-13,43
8,7;-12,85
8,8;-12,28
8,9;-11,72
9,0;-11,18
9,1;-10,64
9,2;-10,11
9,3;-9,59
9,4;-9,08
9,5;-8,57
9,6;-8,08
9,7;-7,60
9,8;-7,12
9,9;-6,66
10,0;-6,20
10,1;-5,75
10,2;-5,31
10,3;-4,88
10,4;-4,46
10,5;-4,04
10,6;-3,63
10,7;-3,23
10,8;-2,84
10,9;-2,45
11,0;-2,07
11,1;-1,70
11,2;-1,33
11,3;-0,97
11,4;-0,62
11,5;-0,28
11,6;0,06
11,7;0,40
11,8;0,72
11,9;1,04
12,0;1,36
12,1;1,67
12,2;1,97
12,3;2,27
12,4;2,57
12,5;2,85
12,6;3,14
12,7;3,42
12,8;3,69
12,9;3,96
13,0;4,22
13,1;4,48
13,2;4,74
13,3;4,99
13,4;5,23
13,5;5,47
13,6;5,71
13,7;5,95
13,8;6,18
13,9;6,40
14,0;6,62
14,1;6,84
14,2;7,06
14,3;7,27
14,4;7,48
14,5;7,68
14,6;7,88
14,7;8,08
14,8;8,28
14,9;8,47
15,0;8,66
15,1;8,84
15,2;9,03
15,3;9,21
15,4;9,39
15,5;9,56
15,6;9,73
15,7;9,90
15,8;10,07
15,9;10,23
16,0;10,39
16,1;10,55
16,2;10,71
16,3;10,87
16,4;11,02
16,5;11,17
16,6;11,32
16,7;11,46
16,8;11,61
16,9;11,75
17,0;11,89
17,1;12,03
17,2;12,16
17,3;12,30
17,4;12,43
17,5;12,56
17,6;12,69
17,7;12,81
17,8;12,94
17,9;13,06
18,0;13,18
18,1;13,30
18,2;13,42
18,3;13,54
18,4;13,65
18,5;13,77
18,6;13,88
18,7;13,99
18,8;14,10
18,9;14,21
19,0;14,31
19,1;14,42
19,2;14,52
19,3;14,63
19,4;14,73
19,5;14,83
19,6;14,93
19,7;15,02
19,8;15,12
19,9;15,21
